,scrapped_jobs,official_match_title,distance
305,"Research Fellow, Flying Qubits, Centre For Quantum Technologies","Agricultural Sciences Teachers, Postsecondary",180.62314
306,"Research Fellow, Flying Qubits, Centre For Quantum Technologies",Survey Researchers,181.58774
307,"Research Fellow, Flying Qubits, Centre For Quantum Technologies","Electronics Engineers, Except Computer",182.78264
308,"Research Fellow, Flying Qubits, Centre For Quantum Technologies",Bioinformatics Scientists,182.96858
309,"Research Fellow, Flying Qubits, Centre For Quantum Technologies",Remote Sensing Scientists and Technologists,183.34811
310,"Research Fellow [Multi-party Quantum Cryptography],Centre",Astronomers,139.4641
311,"Research Fellow [Multi-party Quantum Cryptography],Centre",Materials Scientists,142.71826
312,"Research Fellow [Multi-party Quantum Cryptography],Centre",Physicists,152.99542
313,"Research Fellow [Multi-party Quantum Cryptography],Centre",Nanosystems Engineers,153.8547
314,"Research Fellow [Multi-party Quantum Cryptography],Centre",Biostatisticians,175.60196
315,"Research Fellow [Multi-party Quantum Cryptography],Centre",Survey Researchers,176.88174
316,"Research Fellow [Multi-party Quantum Cryptography],Centre",Bioinformatics Scientists,178.23294
317,"Research Fellow [Multi-party Quantum Cryptography],Centre","Agricultural Sciences Teachers, Postsecondary",178.46536
318,"Research Fellow [Multi-party Quantum Cryptography],Centre",Remote Sensing Scientists and Technologists,178.94994
319,"Research Fellow [Multi-party Quantum Cryptography],Centre",Atmospheric and Space Scientists,179.97488
320,Open application,Materials Scientists,191.2297
321,Open application,Astronomers,195.59976
322,Open application,Web Developers,196.60553
323,Open application,"Forestry and Conservation Science Teachers, Postsecondary",200.56
324,Open application,"Agricultural Sciences Teachers, Postsecondary",201.25996
325,Open application,Physicists,201.8284
326,Open application,Biostatisticians,203.14525
327,Open application,"Computer Science Teachers, Postsecondary",203.3685
328,Open application,"Biological Science Teachers, Postsecondary",205.65872
329,Open application,"Health Specialties Teachers, Postsecondary",206.7911
330,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Materials Scientists,180.85071
331,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Physicists,183.61235
332,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Astronomers,188.41039
333,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Nanosystems Engineers,189.16704
334,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Statisticians,192.57364
335,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Fuel Cell Engineers,192.83395
336,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,"Electronics Engineers, Except Computer",196.42365
337,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Photonics Technicians,196.63742
338,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Quality Control Analysts,197.87999
339,Research Fellow (Ultra-stable Cavities) - Centre For Quantum Technologies.,Chemical Technicians,198.74075
340,Research Fellow (Quantum Emitter and Sensing),Astronomers,131.58847
