,distance,number_of_the_match,official_code,official_job_name,matched_Title,matched_Description
1068,211.05472,1,15-1243.00,Database Architects,Analyst/Consultant Strategy & Cloud / Human Capital (m/w/d) in Stuttgart,
1069,99.10358,1,13-1199.07,Security Management Specialists,Partner Strategy Lead Security,
1070,139.2634,1,19-2041.03,Industrial Ecologists,Modern Work Cloud Specialist for Lifesciences and Chemicals,
1071,163.69264,1,15-1299.09,Information Technology Project Managers,Werkstudent/Praktikant (m/w/d) Technology Strategy & Transformation in Köln,
1072,128.53888,1,43-6013.00,Medical Secretaries and Administrative Assistants,Manager / Agile Coach Medical Engineering (m/w/d) in Magdeburg,
1073,155.97,1,27-3099.00,"Media and Communication Workers, All Other",Consultant im agilen Projektmanagement (all genders),
1074,99.10358,1,13-1199.07,Security Management Specialists,Partner Strategy Lead Security,
1075,134.41957,1,43-6013.00,Medical Secretaries and Administrative Assistants,Manager / Agile Coach Medical Engineering (m/w/d) in Nürnberg,
1076,164.19904,1,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Turbonomic Customer Success Manager - Architect (f/m/x),
1077,135.13997,1,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Graduate Area/Shift Manager (m/w/d) - Nordhessen,
1078,104.17753,1,11-9111.00,Medical and Health Services Managers,Postdoc Datasets for Health System Infrastructures and Resources,
1079,161.43155,1,25-9049.00,"Teaching Assistants, All Other",Junior Technical Consultant (all genders),
1080,121.18916,1,29-2011.04,Histotechnologists,"Research Asst., - Electronics Optoelectronics engineer Centre for Quantum",
1081,106.94666,1,17-2199.07,Photonics Engineers,Data Scientist - Quantum,
1082,88.90312,1,15-1243.01,Data Warehousing Specialists,Data Annotator,
1083,162.25894,1,27-3041.00,Editors,Assembleur de jour ou soir,
1084,87.3557,1,15-1252.00,Software Developers,Software Success Engineer,
1085,92.49471,1,11-1011.00,Chief Executives,Chief of Staff,
1086,93.78432,1,13-1111.00,Management Analysts,Strategy Analyst,
1087,239.52716,1,55-2012.00,First-Line Supervisors of Weapons Specialists/Crew Members,September 2023 Start Project Manager Graduate Development Programme (GDP) Weapons,
1088,92.27381,1,43-4051.00,Customer Service Representatives,Customer Acquisition Lead (SE),
1089,117.43805,1,27-3042.00,Technical Writers,Controls Engineer,
1090,106.99202,1,15-2051.00,Data Scientists,AMO Research Scientist,
1091,170.86006,1,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Product Manager R&D - IMA Life North America,
1092,244.4545,1,43-4141.00,New Accounts Clerks,September 2023 Start Software Engineering Graduate Development Programme (GDP),
1093,211.05472,1,15-1243.00,Database Architects,Analyst/Consultant Strategy & Cloud / Human Capital (m/w/d) in Stuttgart,
1094,99.10358,1,13-1199.07,Security Management Specialists,Partner Strategy Lead Security,
1095,139.2634,1,19-2041.03,Industrial Ecologists,Modern Work Cloud Specialist for Lifesciences and Chemicals,
1096,163.69264,1,15-1299.09,Information Technology Project Managers,Werkstudent/Praktikant (m/w/d) Technology Strategy & Transformation in Köln,
1097,128.53888,1,43-6013.00,Medical Secretaries and Administrative Assistants,Manager / Agile Coach Medical Engineering (m/w/d) in Magdeburg,
