,scrapped_jobs,official_match_title,match_code,distance
191,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Materials Scientists,19-2032.00,139.10529
192,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Physicists,19-2012.00,150.2193
193,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Nanosystems Engineers,17-2199.09,151.71164
194,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Biostatisticians,15-2041.01,172.51086
195,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Bioinformatics Scientists,19-1029.01,174.19992
196,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Survey Researchers,19-3022.00,174.50809
197,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies","Agricultural Sciences Teachers, Postsecondary",25-1041.00,175.3635
198,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Remote Sensing Scientists and Technologists,19-2099.01,176.12233
199,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Geneticists,19-1029.03,176.45224
200,"Research Fellow, Quantum Computation and Simulation",Astronomers,19-2011.00,141.03043
201,"Research Fellow, Quantum Computation and Simulation",Materials Scientists,19-2032.00,143.83908
202,"Research Fellow, Quantum Computation and Simulation",Physicists,19-2012.00,154.64046
203,"Research Fellow, Quantum Computation and Simulation",Nanosystems Engineers,17-2199.09,157.29333
204,"Research Fellow, Quantum Computation and Simulation",Biostatisticians,15-2041.01,178.36835
205,"Research Fellow, Quantum Computation and Simulation","Agricultural Sciences Teachers, Postsecondary",25-1041.00,179.26266
206,"Research Fellow, Quantum Computation and Simulation",Survey Researchers,19-3022.00,180.40343
207,"Research Fellow, Quantum Computation and Simulation",Bioinformatics Scientists,19-1029.01,181.7352
208,"Research Fellow, Quantum Computation and Simulation",Atmospheric and Space Scientists,19-2021.00,182.89883
209,"Research Fellow, Quantum Computation and Simulation",Remote Sensing Scientists and Technologists,19-2099.01,183.1319
210,Quantum Technologies PhD Scholarships,Astronomers,19-2011.00,172.72443
211,Quantum Technologies PhD Scholarships,Materials Scientists,19-2032.00,186.59955
212,Quantum Technologies PhD Scholarships,Physicists,19-2012.00,186.85187
213,Quantum Technologies PhD Scholarships,Economists,19-3011.00,188.30768
214,Quantum Technologies PhD Scholarships,Geneticists,19-1029.03,189.51398
215,Quantum Technologies PhD Scholarships,Molecular and Cellular Biologists,19-1029.02,191.54889
216,Quantum Technologies PhD Scholarships,"Agricultural Sciences Teachers, Postsecondary",25-1041.00,192.86789
217,Quantum Technologies PhD Scholarships,"Anthropology and Archeology Teachers, Postsecondary",25-1061.00,192.99954
218,Quantum Technologies PhD Scholarships,Remote Sensing Scientists and Technologists,19-2099.01,193.68652
219,Quantum Technologies PhD Scholarships,Biochemists and Biophysicists,19-1021.00,195.86713
220,Quantum Content & Communications Manager (Any US Location),Web Developers,15-1254.00,156.63766
221,Quantum Content & Communications Manager (Any US Location),Materials Scientists,19-2032.00,174.02322
222,Quantum Content & Communications Manager (Any US Location),Telecommunications Engineering Specialists,15-1241.01,174.76462
223,Quantum Content & Communications Manager (Any US Location),Bioinformatics Technicians,15-2099.01,176.34601
224,Quantum Content & Communications Manager (Any US Location),Search Marketing Strategists,13-1161.01,178.65013
225,Quantum Content & Communications Manager (Any US Location),Database Administrators,15-1242.00,179.45093
226,Quantum Content & Communications Manager (Any US Location),Biostatisticians,15-2041.01,180.31654
227,Quantum Content & Communications Manager (Any US Location),Nanosystems Engineers,17-2199.09,182.21014
228,Quantum Content & Communications Manager (Any US Location),Computer and Information Research Scientists,15-1221.00,184.5669
229,Quantum Content & Communications Manager (Any US Location),Astronomers,19-2011.00,187.25716
230,Public Sector Consultant,Training and Development Specialists,13-1151.00,128.1684
231,Public Sector Consultant,Human Resources Specialists,13-1071.00,131.49771
232,Public Sector Consultant,Investment Fund Managers,11-3031.03,134.29382
233,Public Sector Consultant,Loss Prevention Managers,11-9199.08,134.94682
234,Public Sector Consultant,Advertising Sales Agents,41-3011.00,137.32529
235,Public Sector Consultant,Human Resources Managers,11-3121.00,138.78145
236,Public Sector Consultant,Legislators,11-1031.00,138.87726
237,Public Sector Consultant,"Education Administrators, Kindergarten through Secondary",11-9032.00,139.17819
238,Public Sector Consultant,Social and Community Service Managers,11-9151.00,139.25806
239,Public Sector Consultant,Energy Auditors,47-4011.01,141.19753
240,Professional Research Assistant,Materials Scientists,19-2032.00,142.8577
241,Professional Research Assistant,Nanosystems Engineers,17-2199.09,143.71466
