,countRef,openDate,sector,europages,company_class_1,employer,employerType,jobTitle,type,countries
156,157,20220630,provides businesses with an easy on-ramp to quantum and hybrid computing,,company,quantagonia,O,marketing intern (m/w/d),I,DE
157,158,20220218,aims to make the technology of quantum computing accessible to users in research and industry,,,qar-lab – quantum applications and research laboratory,O,research assistant (m/f/d) in the field of quantum computing,A,DE
158,159,20210730,symmetric encryption reborn for the cloud,category other,,arqit limited,O,senior product manager,A,GB
159,160,20220809,Developer of quantum computing software designed to transform experimental technology into commercial products,,,riverlane,O,devops engineer,A,GB
160,161,20220625,a venture-backed Australian-German quantum computing hardware company,,company,quantum brilliance,O,pmo manager,A,DE
161,162,20211020,public research university,,university,friedrich-schiller-universitt jena,U,professorship (w3 or w2 with tenure track to w3) in the theory of quantum information,F,DE
162,163,20220519,an exempt charity and a common law corporation,,university,university of cambridge,U,researcher: quantum gases & collective phenomena x 2 (fixed term),A,GB
163,164,20220205,automotive embedded software development tools,Distributor,,etas,O,werkstudent applied post-quantum kryptographie (m/w/d),P,DE
164,165,20210528,,,university,university of birmingham,U,research fellow in experimental quantum optomechanics,A,GB
165,166,20210707,,,,fraunhofer-institut fr angewandte optik und feinmechanik,O,technical employee in the field of quantum hardware,A,DE
166,167,20220404,a quantum computing hardware and software company,,company,oxford quantum circuits,O,it & network engineer,A,GB
167,168,20210508,a forefront research organizations in the fields of quantum physics and photonics,,,max planck institute of quantum optics (mpq),O,frequency comb spectrometer on a photonic chip,A,DE
168,169,20220815,cloud infrastructure company for quantum computing,,company,quantum machines,O,electronics engineer,A,DK
169,170,20210529,a quantum computing hardware and software company,,company,oxford quantum circuits,O,lead software engineer,A,GB
170,171,20220209,a leading German high-tech security company,,company,bundesdruckerei gmbh,O,(senior) innovation developer - quantum computer (m/w/d),A,DE
171,172,20220504,independent quantum computing company,,company,cambridge quantum computing,O,talent acquisition manager / senior recruiter,A,GB
172,173,20221026,an international pioneer in the aerospace industry,category other,,airbus,O,phd for quantum secure infrastructures (d/f/m),A,DE
173,174,20220810,research and development organization,,,fraunhofer-gesellschaft (fraunhofer society),O,student assistant / intern/ thesis photonic quantum technology software development (iof-2022-38),I,DE
174,175,20210625,independent quantum computing company,,company,cambridge quantum computing,O,quantum machine learning (qml) - business development manager,A,GB
175,176,20211120,quantum computing hardware company,,company,iqm,O,quantum software engineer,A,DE
176,177,20210315,research university,,university,technische universitat (tu) darmstadt,U,university professorship w2 experimental quantum optics in condensed matter,F,DE
177,178,20210905,a quantum computing hardware and software company,,company,oxford quantum circuits,O,recruitment & hr specialist,A,GB
178,179,20220902,research university,,university,berlin institute of technology (technische universitat berlin),U,know employee (postdoc) (d/m/f),P,DE
179,180,20211224,public research university,,university,university of nottingham,U,research associate/fellow in quantum sensing and optical magnetometry (fixed term),A,GB
180,181,20220209,,,university,universitat hamburg,U,research associate for the project quantum-computer-demonstrator rymax the project aims to build a quantum computer based on rydberg atoms in optical traps. the position is according to,A,DE
181,182,20210524,the high-tech recruitment experts,,company,ecm selection,O,lead engineer - software for quantum computing,A,GB
182,183,20220108,,Service Provider,,ic resources,O,fpga developer,A,GB
183,184,20220125,,,university,university of southampton,U,phd studentship - modulators and low-loss switching for quantum technology,A,GB
184,185,20220524,,,university,technical university of munich (tum),U,open master theses in quantum sensing,A,DE
185,186,20210414,public German university,,university,university of rostock,U,w 41/2021 postdoctoral researcher (m/f/d),P,DE
186,187,20220725,provides businesses with an easy on-ramp to quantum and hybrid computing,,company,quantagonia,O,mathematical optimization developer | c++ (m/w/d),A,DE
187,188,20220531,provides businesses with an easy on-ramp to quantum and hybrid computing,,company,quantagonia,O,marketing intern (m/w/d),I,DE
188,189,20220905,a venture-backed Australian-German quantum computing hardware company,,company,quantum brilliance,O,temporary job (mini job) – office administration,A,DE
189,190,20210703,an exempt charity and a common law corporation,,university,university of cambridge,U,research assistant/associate (fixed term),A,GB
190,191,20210615,a quantum computing hardware and software company,,company,oxford quantum circuits,O,recruitment & hr specialist,A,GB
191,192,20220114,,,university,king's college london,U,research associate,A,GB
192,193,20210420,,,university,imperial college london,U,research associate in quantum information,A,GB
193,194,20220809,,,university,technical university of munich (tum),U,associate or full professor (f/m/d) for quantum communication systems engineering,F,DE
194,195,20210515,,,university,heriot watt university,U,research associate in advanced optical communication and imaging lab (aocil),A,GB
195,196,20210730,major German automobile manufacturer,,company,volkswagen ag,O,"phd student (m / f / d) on the subject of ""quantum computing"" in the area of group innovation",A,DE
196,197,20210724,red brick Russell Group research university,,university,university of bristol,U,business engagement associate,A,GB
197,198,20211015,independent quantum computing company,,company,cambridge quantum computing,O,front end developer,A,GB
198,199,20220713,,,university,university of bath,U,research associate in quantum limits for subellitpic operators (fixed-term post),P,GB
199,200,20210317,,,university,universitat hamburg,U,research associate for the project - cluster of excellence quantum universe - laser interferometry at ultra-low temperatures,A,DE
200,201,20201128,a quantum computing hardware and software company,,company,oxford quantum circuits,O,software engineer,A,GB
201,202,20220120,,Service Provider,,julich supercomputing centre / forschungszentrum julich,O,master thesis on solving factorization problems using quantum annealing,A,DE
202,203,20210714,,,university,university of oxford,U,postdoctoral research assistant in superconducting quantum circuits,P,GB
203,204,20220410,,,university,university of glasgow,U,quantic project officer,A,GB
204,205,20220617,,,university,imperial college london,U,research associate in optimal control of trapped ions,A,GB
205,206,20210529,,,,dlr-(german aerospace center)deutsches zentrum fr luft- und raumfahrt,O,algorithmen zur radarsignalverarbeitung auf analogen und digitalen quantencomputern,A,DE
206,207,20210804,measurement standards laboratory of India,,,council of scientific and industrial research–national physical laboratory (csir–npl),O,quantum photonics scientists and engineers,A,GB
207,208,20220810,research and development organization,,,fraunhofer-gesellschaft (fraunhofer society),O,researcher compiler construction: quantum computing,A,DE
208,209,20211111,,,,dlr-(german aerospace center)deutsches zentrum fr luft- und raumfahrt,O,innovative approaches to quantum machine learning,A,DE
209,210,20220607,,,university,universitt zu koln,U,phd position in sub-thz spectroscopy of quantum materials (f/m/d),A,DE
210,211,20211224,,,university,technical university of munich (tum),U,5 phd positions in integrated semiconductor quantum nanomaterials,A,DE
211,212,20210416,,,,national physical laboratory (npl),O,phd vacancy - optical lattice clocks for fundamental physics and redefinition of the second,P,GB
212,213,20220901,a leading global financial services firm,Service Provider,company,jp morgan chase,O,2023 research technologies associate program - off-cycle internship (london),I,GB
213,214,20210727,independent quantum computing company,,company,cambridge quantum computing,O,"research scientist, natural language processing (nlp) / machine learning (m",A,GB
214,215,20220303,,Manufacturer/ Producer,company,atos,O,it consultant - quantum computing (m/w/d),A,DE
215,216,20220705,intuitive and cloud-based simulation platform,,,quantistry gmbh,O,(senior) backend software engineer (m/f/d),A,DE
216,217,20220824,research university,,university,university of siegen,U,research associate - theoretical quantum optics,A,DE
217,218,20220105,,,university,imperial college london,U,research associate in quantum technology,A,GB
218,219,20210318,research university,,university,berlin institute of technology (technische universitat berlin),U,research assistant,A,DE
219,220,20221026,German public research,Service Provider,,rwth aachen,O,student assistant (f/m/non-binary),I,DE
220,221,20210626,German public IT services provider,category other,,bwi gmbh,O,experte quantum key distribution (m/w/d),A,DE
221,222,20211109,,,university,durham university,U,postdoctoral research assistant in quantum light and matter,P,GB
222,223,20220114,,,university,king's college london,U,lecturers & reader / senior lecturer in physics,F,GB
